catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
5525f,0.2671314170982409,20.87243,92.66,36.1,-1.11,0.11,10.88,11.1,2.2367695461909887
5525g,0.27421972208375833,3.465798,92.56,36.35,-0.51,0.08,8.51,0.64,2.8235415607467815
5525h,0.26307573699914094,8.428806,91.12,29.1,-0.76,0.5,4.68,-4.84,2.3272085254106134
5525i,0.2684902309228905,3.75123,90.84,30.31,-1.06,0.01,5.97,0.32,3.3639311953166873
5525j,0.2757271219545137,6.497741,93.01,21.62,-0.98,0.37,10.28,2.41,2.8315400031411766
5525k,0.2637569587165183,24.55556,92.95,14.77,-0.94,0.25,10.69,5.01,2.956571480380426
5526a,0.1978790892291566,95.78833,91.61,15.03,-0.57,-0.02,2.62,0.53,0.9419303322593595
5526b,0.2655562201364759,11.55226,88.87,28.91,-1.29,-0.23,7.06,1.55,2.7518093577035834
5526c,0.25400341305277035,16.25736,92.07,32.17,-0.68,0.44,2.91,7.06,2.12467860402221
5526d,0.26940236095828124,15.10079,92.06,22.49,-1.07,0.62,10.02,6.78,2.292499050426835
5526e,0.24484509237754581,27.51738,90.78,23.01,-0.65,0.25,2.31,3.16,2.0681518317721657
5526f,0.26369207844452525,25.1952,92.98,27.45,-1.12,0.62,10.7,10.37,2.266526434199493
5526g,0.2729437956777815,4.050019,92.05,34.78,-0.35,0.02,8.05,1.6,2.6618801108611
5526h,0.26067490281099975,8.520584,91.16,24.3,-0.59,0.41,3.54,-1.0,2.2964111808510546
5526i,0.26798673044187227,4.110105,90.81,30.63,-0.96,-0.2,5.84,0.48,3.329742598643492
5526j,0.27588522776929564,4.822392,92.84,23.13,-0.77,0.35,9.86,2.1,3.1295723875923986
5526k,0.263529430260563,25.18868,92.3,16.14,-0.61,0.24,10.77,4.95,2.8540153517472926
5527aa,0.173,99.86306,91.3,18.61,-0.77,-0.05,6.57,3.48,1.002109470354621
5527b,0.346,7.726556,90.59,27.84,-1.1,0.34,12.34,3.47,1.9804633776250715
5527bb,0.341,11.09947,93.22,18.59,-0.8,0.07,11.47,2.22,2.021851540945601
5527c,0.352,28.80436,90.28,14.66,-1.34,0.45,11.68,4.49,1.9169437209573548
5527cc,0.173,10.02606,92.87,23.84,-1.06,0.12,8.7,1.03,1.9847165368040403
5527d,0.386,6.579041,90.67,21.74,-1.17,0.3,13.05,2.21,1.9596768541111562
5527dd,0.301,22.26597,93.19,19.61,-0.8,0.15,10.18,2.91,2.970708608408113
5527e,0.366,5.403849,90.33,28.05,-0.79,0.32,11.99,2.76,2.317322416320318
5527ee,0.233,92.02757,91.29,22.64,0.16,0.2,1.86,5.87,1.0324231669798785
5527f,0.307,14.949,89.47,23.45,-1.04,0.18,9.71,10.0,3.1066187663054388
5527ff,0.241,11.03844,85.72,15.78,0.23,0.86,0.5,0.12,0.981511031250397
5527g,0.129,10.48084,89.6,26.49,-0.99,0.13,11.51,1.99,2.700889185930533
5527gg,0.185,6.065016,92.12,27.68,-0.93,0.79,11.49,2.34,2.9646608504185297
5527h,0.338,6.494048,91.75,27.1,-1.11,0.19,8.02,0.92,1.9476431570768935
5527hh,0.126,10.43883,89.0,15.71,0.36,0.57,12.09,1.34,2.681407075452365
5527i,0.363,7.273427,92.26,28.89,-1.02,0.09,11.7,1.75,2.0845205175781674
5527ii,0.171,94.31882,90.98,17.91,-0.14,0.2,5.08,3.17,1.1159752563753074
5527j,0.171,87.47112,88.98,19.08,-0.94,0.5,6.45,3.45,1.0762603824868981
5527jj,0.178,10.75179,90.21,17.09,0.2,0.74,5.4,1.04,2.072322159168946
5527k,0.357,10.65559,91.15,25.71,-0.86,0.21,7.07,0.53,1.9731005312703442
5527kk,0.168,93.81503,91.73,17.7,-1.25,-0.42,9.85,2.78,1.2544728989880978
5527l,0.334,10.765,92.11,25.56,-1.05,0.14,8.37,1.46,2.1438917494686516
5527ll,0.338,16.34946,93.02,23.25,-0.96,-0.64,9.77,2.39,2.197510129574225
5527m,0.163,88.37573,91.26,18.62,-0.69,0.47,7.4,5.3,1.165312812400089
5527mm,0.333,20.65583,92.09,25.91,-0.76,-0.77,6.14,0.41,2.116172716461492
5527n,0.337,10.23438,92.05,23.44,-0.93,0.24,11.62,2.92,2.2245156802116286
5527nn,0.169,96.55643,90.31,17.56,-0.32,0.37,3.96,0.98,1.2926250430817239
5527o,0.346,45.36432,91.08,14.69,-0.94,0.54,7.5,3.82,1.562538241844701
5527p,0.311,15.05381,92.4,22.07,-0.96,0.35,11.1,4.89,3.2598201261486532
5527q,0.195,4.930366,92.01,29.29,-1.07,-0.2,10.58,2.48,2.912385250879482
5527r,0.343,14.97096,91.2,19.06,-1.39,0.18,12.06,3.68,1.9458817167590508
5527s,0.3,2.173652,91.56,31.72,-1.2,0.3,10.8,3.65,2.076573098838225
5527t,0.372,10.39922,90.83,25.01,-0.99,0.71,13.63,7.9,2.1688359218470876
5527u,0.315,22.20102,92.28,39.25,-1.15,-0.0,9.03,10.49,3.0269160638935824
5527v,0.149,8.528272,91.0,25.5,-0.89,-0.27,11.23,1.88,2.7140729407061577
5527w,0.172,90.66915,91.76,9.27,-0.83,0.39,7.6,1.79,1.1408752403207039
5527x,0.329,7.268728,92.77,22.77,-0.84,0.16,11.85,1.36,2.211044871471504
5527y,0.339,48.17344,91.69,14.03,-1.03,0.19,6.49,2.24,1.5998740780430263
5527z,0.347,16.30906,90.89,22.79,-0.88,0.1,6.49,0.6,2.0701234890206117
5528a,0.348,11.93124,89.88,37.83,-1.19,-0.05,8.67,7.3,2.135745658990795
5528aa,0.175,96.00184,90.65,16.36,-0.63,-0.0,4.39,2.14,0.9047103462383692
5528b,0.354,8.093275,90.38,26.55,-0.92,0.33,10.15,3.65,2.040466340208403
5528bb,0.339,12.13536,93.76,19.46,-0.64,0.06,10.24,2.04,1.942758852269631
5528c,0.353,43.96482,91.4,14.09,-1.18,0.46,9.08,5.68,1.9316903226212236
5528cc,0.176,10.35797,92.18,28.4,-0.9,-0.1,6.25,1.43,2.0031616537820836
5528d,0.386,9.246981,91.07,22.11,-1.09,0.35,11.25,0.86,2.013743555736332
5528dd,0.305,17.85493,93.21,17.97,-0.72,0.3,9.08,1.26,3.2888819087406262
5528e,0.369,5.297221,91.54,28.86,-0.56,0.44,10.3,3.65,2.4649378060728506
5528ee,0.232,94.28723,91.55,14.57,0.14,0.46,-0.1,1.45,0.8583338660152927
5528f,0.316,13.72606,92.98,22.58,-1.04,0.18,8.2,9.99,3.1570711394794895
5528ff,0.237,11.89192,92.2,17.07,0.33,0.81,-0.16,-0.45,0.961386213363067
5528g,0.129,13.19609,90.3,25.98,-1.19,0.14,10.38,1.61,2.6840469828273057
5528gg,0.186,5.293118,92.93,27.1,-0.92,0.81,9.8,1.41,2.9000046479921155
5528h,0.331,9.250122,93.11,24.32,-0.98,0.23,5.95,0.77,1.945240192755499
5528hh,0.126,10.5283,90.51,14.39,-0.24,0.59,8.94,1.23,2.610988233891235
5528i,0.366,10.3146,92.58,28.1,-0.93,0.02,10.11,1.54,1.9188984078799243
5528ii,0.171,95.49838,92.26,17.44,0.09,0.18,0.46,2.36,0.98232174213974
5528j,0.171,93.84412,90.55,19.42,-0.65,0.1,3.54,1.92,1.0349320346713913
5528jj,0.175,11.72644,92.0,17.61,1.03,0.82,0.55,0.94,1.9715472067820068
5528k,0.353,12.26129,89.72,24.8,-0.74,0.25,4.99,0.52,1.8969528332179095
5528kk,0.168,94.2457,,,,,1.7523224715652903,,1.2035581476596842
5528l,0.33,14.69455,92.8,21.68,-0.98,0.23,6.15,1.18,2.066877453328805
5528ll,0.341,17.64734,,,,,8.451381962082266,,2.1097113493807123
5528m,0.166,92.92168,91.61,20.47,-0.54,0.28,5.13,3.99,1.0656866521049435
5528mm,0.332,21.66129,,,,,7.920735972908825,,2.0079279601358624
5528n,0.323,10.32094,93.0,21.41,-0.79,0.31,9.91,2.2,2.37663477953099
5528nn,0.173,94.98972,,,,,1.77512169660884,,1.2015397211480494
5528o,0.337,44.80205,91.84,15.2,-0.68,0.41,4.99,2.72,1.6877729154971808
5528p,0.335,16.79887,93.44,21.71,-0.68,-0.02,8.75,3.25,3.1825683623577836
5528q,0.196,5.072137,91.78,30.14,-1.12,-0.41,8.6,2.58,2.937685222458121
5528r,0.345,16.17201,90.99,18.06,-1.39,0.14,9.71,3.78,2.064952183316403
5528s,0.303,1.644404,92.4,30.81,-1.14,0.24,8.75,3.43,2.055122406626464
5528t,0.372,10.00811,91.12,25.6,-0.94,0.72,11.52,7.81,2.153766424015778
5528u,0.309,18.36403,91.86,46.44,-1.06,-0.09,7.36,9.63,3.0429168241748132
5528v,0.147,8.517794,91.8,24.99,-0.99,-0.18,10.15,1.45,2.6612633590335086
5528w,0.169,95.20913,87.86,9.52,-0.77,0.27,4.74,1.3,0.9858176761970662
5528x,0.332,8.956034,93.4,22.14,-0.67,0.21,10.33,1.42,2.030245751522672
5528y,0.337,46.65186,90.74,16.17,-0.84,-0.05,4.43,2.03,1.6659369547952099
5528z,0.35,14.90387,90.65,21.66,-0.77,0.11,4.95,0.49,1.9991689466281386
5529a,0.245,97.56136,94.33,7.07,1.76,1.41,-3.75,-0.2,0.6595538071456165
5529b,0.247,18.88284,95.08,18.2,1.78,0.77,-4.43,-1.51,1.608337939246923
5529c,0.244,28.76289,94.18,10.06,2.18,1.65,-5.13,-1.97,1.7255418964738638
5529d,0.244,97.70914,96.26,10.03,1.3,0.53,1.86,0.92,0.5523425719796192
5529e,0.248,31.77377,96.18,7.36,1.2,0.99,1.33,0.56,1.6791702414727263
5529f,0.327,98.76451,95.17,7.56,1.79,1.94,-3.91,-1.15,0.6667676109909711
5529g,0.331,30.32142,95.05,7.91,1.87,1.69,-4.36,-1.37,1.653801155686647
5529h,0.246,97.68902,93.77,15.08,1.96,0.84,-5.18,-1.54,0.6486745811182384
5529i,0.246,39.67847,93.92,10.49,2.04,1.14,-5.17,-1.44,1.595707582255376
5529j,0.243,98.91493,97.39,28.76,1.4,0.22,-1.96,-0.54,0.5604535567556872
5529k,0.244,36.31456,97.02,22.21,1.55,0.37,-2.16,-1.01,1.5086495241018696
5529l,0.317,76.37644,96.81,7.55,1.7,1.31,-2.12,0.16,1.2881588532102464
5529m,0.312,1.106993,97.18,24.26,1.86,0.48,-2.31,-0.6,1.2781967096979185
5529n,0.313,72.64036,95.81,18.55,2.09,0.71,-3.55,-0.68,1.2490791283691998
5529o,0.314,77.73837,96.25,7.01,0.82,0.72,3.13,2.61,1.2259726812727703
5529p,0.313,7.395273,95.59,21.52,0.7,0.37,4.52,-0.06,1.176037240411533
5529r,0.471,-8.658186891960568,93.8,24.89,1.19,-0.19,4.88,3.07,3.030721479118074
5530a,0.241,96.51674,95.72,7.09,1.77,1.42,-3.67,-0.11,0.680165510316951
5530b,0.245,14.27129,96.34,17.81,1.93,1.03,-3.89,-1.13,1.6896167855322217
5530c,0.247,26.28212,95.92,8.87,2.04,1.3,-3.62,-0.37,1.6464595068820265
5530d,0.244,98.22476,97.29,7.22,1.26,0.59,2.43,1.47,0.524846709856239
5530e,0.25,27.2027,96.15,10.25,1.19,0.4,0.83,1.69,1.6197389726700528
5530f,0.287,96.80083,95.7,9.77,1.73,1.31,-3.02,-1.03,0.676106524697997
5530g,0.291,25.47835,95.46,11.46,1.74,1.01,-3.33,-0.46,1.7799772443859618
5530h,0.242,98.04266,94.74,9.41,1.83,1.01,-2.99,-0.36,0.5726894790326834
5530i,0.245,30.76161,94.81,14.24,2.17,0.81,-3.77,-1.01,1.701876299221505
5530j,0.246,97.22032,97.34,19.43,1.52,0.37,-1.05,-0.65,0.5481564398560383
5530k,0.249,28.00984,97.45,15.08,1.44,0.59,-0.72,-0.74,1.7228478002942633
5530l,0.314,75.98405,97.82,8.61,1.78,1.19,-2.19,0.29,1.2535296511268186
5530m,0.314,1.362165,98.36,24.91,1.92,0.45,-2.41,-0.61,1.2079982124391047
5530n,0.313,71.84602,96.79,17.17,2.15,0.73,-3.58,-0.37,1.309855748714632
5530o,0.318,78.72403,97.61,7.79,0.57,0.57,3.21,3.21,1.2385280893592088
5530p,0.316,5.48587,97.67,22.96,0.9,0.22,2.9,0.08,1.0232405461478198
5530q,0.315,78.77457,97.42,31.68,1.09,-0.11,-0.32,1.45,1.1376891447142892
5530r,0.472,5.955889,94.78,26.1,1.21,-0.16,5.27,3.11,3.0443311234090413
5531a,0.2,9.137722,90.84,21.37,-0.47,0.48,6.24,0.97,1.9462350160919246
5531b,0.15,10.0575,90.31,21.04,-0.86,0.48,9.89,1.88,2.6713612064751597
5531c,0.23,11.53092,91.4,23.13,-0.91,0.48,9.68,0.42,1.496265783127912
5531d,0.34,3.952846,91.69,31.05,-0.97,0.38,9.9,-1.88,1.9400963754788108
5531e,0.33,22.12357,92.33,15.94,-1.15,0.9,8.99,2.74,1.749422983346682
5531f,0.3,3.423332,91.83,28.92,-0.52,0.37,7.4,0.17,2.175360882970138
5531g,0.28,6.291809,92.47,27.34,-0.45,0.49,12.37,4.98,2.3719383271565664
5531h,0.3,6.094589,92.43,23.16,-1.35,0.32,11.28,0.91,2.95707257370794
5531i,0.26,12.2708,91.48,17.06,-0.59,0.43,10.64,1.83,2.0802929432994963
5531j,0.2,8.947495,89.87,21.36,0.53,-0.01,16.53,1.04,2.2384796384865995
5531k,0.27,3.651166,92.24,28.83,-0.95,0.27,9.85,0.15,3.077665444502403
5531l,0.37,5.19261,91.09,25.11,-0.63,0.48,15.69,1.42,3.282526701364168
5531m,0.3,77.92609,90.42,15.13,0.15,0.77,2.9,2.77,1.0568619313917604
5531n,0.39,66.12098,90.23,15.84,-0.25,0.71,3.23,2.66,1.289863596680831
5531o,0.41,10.88004,90.5,17.36,-0.3,0.62,10.11,2.24,3.307109855990571
5531p,0.45,3.41418,88.73,27.61,-2.02,0.27,18.8,-0.04,3.192384997487572
5531q,0.29,4.034333,92.44,27.11,-1.13,0.46,9.17,0.75,3.294375467943647
5532a,0.12,9.852638,90.93,23.66,-0.63,0.68,6.38,2.1,1.7552131366851402
5532b,0.15,7.259263,90.56,24.8,-0.59,0.47,10.54,2.56,2.7341677055044538
5532c,0.23,11.39031,89.11,21.25,-0.66,0.6,12.66,0.94,1.5327626841237345
5532d,0.34,5.427294,89.31,33.24,-0.69,-0.14,13.21,-3.32,1.9872791958263518
5532e,0.28,18.21073,91.88,31.02,-1.06,0.32,9.93,4.29,1.8379890819592741
5532f,0.25,4.816179,90.87,31.88,-0.32,0.29,9.63,1.46,1.733440377339628
5532g,0.3,8.860044,90.88,24.84,-0.42,0.42,13.85,2.43,2.3435056570248554
5532h,0.18,6.932542,91.68,24.03,-0.85,0.77,11.28,2.59,2.8522357016833046
5532i,0.26,16.80931,89.94,18.37,-0.53,1.25,13.02,8.55,2.0949012648743848
5532j,0.41,8.361486,89.39,21.63,0.65,0.17,18.28,0.37,2.092699102639532
5532k,0.34,3.919493,89.3,29.34,-0.62,0.61,14.62,0.21,3.2405296122008553
5532l,0.21,5.48531,90.26,29.32,-0.41,0.68,16.93,-1.63,3.3125603072426575
5532m,0.31,68.68939,88.24,15.9,0.39,0.81,6.34,3.56,1.2593945716416444
5532n,0.4,62.79571,89.2,18.51,0.06,0.97,5.55,3.95,1.7497673579785467
5532o,0.34,13.45356,87.92,17.35,-0.21,0.71,14.28,2.83,3.047054384929701
5532p,0.61,1.950618,86.9,31.15,-1.03,0.46,20.72,-3.13,3.6839505702866893
5532q,0.19,5.669221,91.03,25.22,-0.9,0.52,11.12,1.87,3.0879265404827017
5533a,0.19,10.0858,90.94,24.23,-0.36,0.39,6.46,-0.39,2.0783345203760613
5533b,0.28,8.688894,90.56,26.67,-0.73,0.19,10.16,1.13,2.752499542267951
5533c,0.41,13.35485,90.99,25.89,-0.77,0.23,10.27,-1.35,1.9633881185292315
5533d,0.38,4.34808,90.76,35.24,-0.73,-0.3,10.07,-5.98,2.0632575448428265
5533e,0.34,30.68013,92.83,17.41,-0.9,0.64,8.43,3.12,1.7470188452807747
5533f,0.26,4.777358,89.85,31.41,-0.3,0.55,7.84,-0.98,2.2788011228625065
5533g,0.41,6.66733,90.91,28.63,-0.42,0.46,14.06,-1.13,2.4610917920978364
5533h,0.25,7.741661,92.11,24.15,-1.16,0.52,12.05,-0.81,2.9456432699333193
5533i,0.25,15.29707,91.91,14.85,-0.58,0.6,10.84,2.63,2.3308114199031493
5533j,0.34,7.899207,89.91,23.3,0.56,0.11,17.82,-1.8,2.279301598898904
5533k,0.31,5.501493,92.39,30.59,-0.81,0.54,10.02,-0.98,3.131014495303143
5533l,0.36,7.829075,90.43,26.45,-0.44,0.47,16.54,0.1,3.263640686639916
5533m,0.28,71.33189,89.89,14.27,0.41,0.79,2.94,3.28,0.8989772261538447
5533n,0.36,83.75923,90.25,16.65,-0.25,0.71,4.39,2.75,1.5435534150399126
5533o,0.35,14.70799,90.51,17.12,-0.32,0.5,10.25,1.51,3.0313287631213566
5533p,0.55,3.530301,88.26,29.07,-1.97,0.23,19.02,-1.75,3.1776836270092
5533q,0.24,4.791281,92.56,29.01,-1.0,0.48,9.38,-0.68,3.2592628007603444
5534a,0.241,92.8004,92.3,14.54,0.09,0.35,-0.45,1.57,0.81908792608121
5534b,0.128,12.19876,92.11,17.84,-1.15,0.48,9.68,1.64,2.7075871245557472
5534c,0.352,17.08249,93.14,19.18,-1.21,0.32,7.66,4.59,2.0336318773974544
5534d,0.35,15.04495,91.94,22.34,-1.36,0.21,9.36,7.44,2.135942247644114
5534e,0.34,46.45269,92.65,20.78,-0.77,0.19,4.62,3.4,1.3708037350999323
5534f,0.348,36.61639,91.68,23.62,-1.26,0.32,8.42,9.66,1.7345414213798913
5534g,0.322,2.746174,93.08,28.66,-1.24,0.17,8.51,1.9,1.904193203733324
5534h,0.168,12.08586,92.48,39.2,-0.89,-0.39,5.71,2.04,2.0008012118793
5534i,0.188,5.852037,90.95,34.33,-0.84,-0.3,8.23,2.4,3.107853040146556
5534j,0.356,6.108798,92.39,23.91,-0.81,0.57,11.04,4.79,2.4386629347253255
5534k,0.312,16.97608,90.43,17.77,-1.25,-0.0,9.13,5.05,3.0049797277974357
5535a,0.246,90.71391,92.73,8.22,-0.24,1.05,0.78,1.58,0.9174048868342536
5535b,0.132,11.58756,91.17,17.1,-1.24,0.56,10.67,1.98,2.7177417825633863
5535c,0.342,10.79179,92.78,19.87,-1.45,0.27,8.86,4.09,2.0951202577957253
5535d,0.351,16.60363,91.33,22.43,-1.55,0.53,11.64,7.85,1.9524396528273045
5535e,0.321,35.5783,91.9,18.38,-0.91,0.3,5.91,3.78,1.5061129158330686
5535f,0.34,30.77613,92.52,33.56,-1.45,0.09,9.71,11.22,2.1048371066312015
5535g,0.316,2.949558,92.55,33.81,-1.47,0.24,9.55,4.65,1.9312184675675184
5535h,0.171,11.95412,91.95,44.65,-1.15,-0.48,7.36,4.13,2.0099892408638818
5535i,0.201,6.283869,90.14,32.5,-1.12,-0.44,9.16,3.02,3.0437824590802554
5535j,0.365,6.023774,91.58,25.06,-1.03,0.36,12.1,4.44,2.615534151548683
5535k,0.319,18.06155,91.22,12.86,-1.32,-0.08,10.32,5.38,2.8483772105307374
5536a,0.246,87.90292,92.53,9.2,0.09,1.05,0.45,1.76,0.7941633867558946
5536b,0.135,11.24472,92.42,19.47,-1.11,0.52,10.72,1.58,2.602603740496646
5536c,0.354,14.82307,93.14,17.43,-1.36,0.47,9.1,3.97,1.9678964653564084
5536d,0.351,12.82415,92.5,21.15,-1.38,0.27,9.28,6.55,1.9324170022849019
5536e,0.338,50.28564,90.96,14.69,-0.7,0.55,5.12,3.58,1.2446508986418425
5536f,0.35,33.81506,92.66,24.38,-1.23,0.51,8.87,10.61,1.9183830506313584
5536g,0.312,3.461761,93.22,28.64,-1.13,0.15,8.93,1.3,1.749994795756146
5536h,0.169,8.374932,92.7,35.94,-1.13,-0.02,5.98,1.12,1.9359828395313599
5536i,0.194,5.449966,92.14,37.79,-0.81,-0.21,8.68,2.16,3.1651116469615705
5536j,0.358,7.697102,92.32,19.21,-0.87,0.45,11.44,3.06,2.414587375373481
5536k,0.32,25.90978,93.17,19.4,-1.48,0.14,8.38,8.64,2.6275568929663127
5537a,0.16,13.68858,97.09,23.58,-0.13,0.47,4.53,2.87,1.8397702716331632
5537b,0.12,14.56304,99.96,20.78,-0.52,0.65,10.54,2.68,2.764819747920683
5537c,0.17,36.16824,97.86,15.36,-0.02,0.42,5.09,2.29,1.7773254960234588
5537d,0.33,12.48945,92.02,24.42,-0.6438769520111798,0.42,9.449311597778689,2.71,1.7732285198658968
5537e,0.33,8.556058,92.14,26.07,-0.8388345345741177,1.0189002995975582,10.72700756725402,1.8853933586325589,1.9626529819420808
5537f,0.31,26.51971,92.48,13.949999999999996,-0.6587240360226287,0.6941834217304432,8.370424351413241,4.266603416452957,1.9374350428200775
5537g,0.29,4.344138,92.13,29.96,-0.2285217306474685,0.2444573576052822,8.738704598958314,1.6216481196613453,1.8530799788382832
5537h,0.34,10.02667,91.0,19.04,-0.2563430823672163,0.637166318456367,12.682930660792934,3.319847972222356,1.9735229316288116
5537i,0.35,8.323738,90.79,19.120000000000005,-0.9688292090823668,0.7594679375997337,13.667091143544408,1.896348930488656,2.865402615745924
5537j,0.34,2.740975,91.6,30.05,-0.4397448453367647,0.2587288913147578,11.9411273737001,1.0760329950852632,2.194686854697349
5537k,0.32,18.45481,92.38,14.259999999999998,-0.5362804166136881,0.7673914836221207,9.869707682523376,2.8870918175481872,2.1858991728675288
5537l,0.33,10.06029,90.82,25.61,0.5152211501485149,0.5803449889162093,15.69157071801981,2.020067202506881,2.602795687736456
5537m,0.25,6.427063,93.22,27.42,-0.8130421937261323,0.3818046580719714,8.114550741106186,0.6633841329970469,2.9594432528921004
5537n,0.28,6.171103,90.55,27.27,-0.7022627637679468,0.1950595353997219,3.218799991460042,1.6630883526888796,1.869076752394872
5537o,0.36,7.194446,91.44,22.81,-0.560883201779494,0.6850290450129137,14.833901760887658,2.3938362358290832,3.078075800681983
5537p,0.27,71.99779,90.83,19.79,-0.14007824249751,0.8746465872931375,2.4026300904193887,3.579429913199439,1.3295282055805437
5537q,0.35,82.67817,90.99,17.5,-0.117767134390545,0.9563414999409492,1.8036406140696792,4.120912385119446,1.061034555709259
5537r,0.41,10.76387,93.22,23.489999999999995,-0.3058416540277497,0.448080818073765,8.308351935718218,1.431443288800538,3.443208737896779
5537s,0.58,3.649276,87.89,28.72,-1.5840775981653676,0.4717254050200514,20.67609596811604,-0.9431394525386216,3.7980339494137145
5537t,0.31,4.241522,91.1,31.82,-0.178505964506026,0.6524210661707219,12.486615120600495,1.0434162941105107,3.113515358662109
5538a,0.18,12.82347,88.78,20.53,-0.5969275295126253,0.2122877157197111,3.5691355499472,2.1987062871794194,1.8196061647860349
5538b,0.13,12.62734,91.2,17.42,-0.8483136919670842,0.6005966728067913,9.203930499324798,1.7614185790923886,2.664622085788354
5538c,0.15,39.44761,89.21,14.6,-0.5186270775078827,0.7073445458865291,5.2673015640624765,2.1438385779613545,1.742801291080859
5538d,0.3,10.59884,93.0,20.21,-0.9201592287965132,0.2031680250283996,8.520110802913173,1.392906186064502,1.8774114976317142
5538e,0.31,7.005587,92.71,25.04,-0.8909975113127744,0.2111978558121119,10.383150845647382,1.0613849729763092,2.0080851612075223
5538f,0.28,25.57192,92.59,12.740000000000006,-0.8464054039944435,0.6732125752527962,7.942700694080096,2.4892629792687693,2.0197475686661854
5538g,0.28,3.538827,92.17,29.61,-0.0810799775750048,0.202656674483298,7.528377295837885,1.0488005868027783,1.781182877483821
5538h,0.32,8.409521,92.22,21.190000000000005,-0.3819684192462036,0.3065234820458229,10.431667347365714,1.6565319523323407,2.3264718572977956
5538i,0.32,9.158261,91.73,19.25,-1.271562926775882,0.4909888079980828,11.88378307215352,1.5531818833973476,2.8672917744654907
5538j,0.34,3.059513,93.07,27.989999999999995,-0.1032953426405858,0.1186635843614669,8.828248132653105,0.8742917509220294,2.3042806936646847
5538k,0.32,20.18351,92.75,12.990000000000006,-0.4242168792367717,0.5991915113258556,9.656909379452896,2.347973537258091,2.2337625201814455
5538l,0.33,10.0587,90.15,25.54,0.4479711082738813,0.5859130176451288,16.72623429666935,1.967073693533261,2.677181716189171
5538m,0.25,6.39153,93.03,27.39,-0.8107289719227473,0.1541065258724716,8.322083027433024,0.7609364183371548,3.0993904140087793
5538n,0.27,3.647892,90.28,28.510000000000005,-0.4818271157910891,0.2031510659472046,4.200958623996898,0.8610253502556398,1.9268755561893651
5538o,0.41,7.015885,92.42,23.64,-0.8730198238749987,0.2356441810113241,14.277055970132624,1.354368896586633,3.1753823524017473
5538p,0.28,81.65188,91.35,14.999999999999996,0.0432394593981588,0.4884129515285162,2.04586095239192,2.5551565095090822,1.1099571865743032
5538q,0.36,84.22988,90.69,15.170000000000002,-0.2029918310463285,0.810763885095267,2.766700780834785,2.883513110347036,1.1861803453545947
5538r,0.39,12.95149,93.33,20.11,-0.4388256261028123,0.3197620349058017,8.528411961282023,1.9230601864583807,3.1597889789822626
5538s,0.61,3.174901,89.51,28.129999999999995,-2.217301401746808,0.1911568785955275,17.70948464892179,1.2702903486829675,3.480550365343588
5538t,0.33,4.219812,91.27,28.19,-0.3669627746054615,0.305185989323109,10.44625550415077,1.362840694949874,3.2186533619445283
5539a,0.16,12.88394,87.94,19.05,-0.5120976056372517,0.3309951715547987,5.551753440056872,1.3208400709311618,1.9823427179266395
5539b,0.11,11.18696,90.16,18.480000000000004,-0.6499698253458197,0.5711495609891093,11.129475963982593,2.549691707604218,2.6861085199531165
5539c,0.14,37.14878,89.48,14.77,-0.3418460564525993,0.9606139325856466,3.6754900603813256,6.40793637780871,1.777579017469577
5539d,0.29,9.807961,91.35,19.06,-0.8049140578719194,0.3731009180489575,10.873404332759671,1.914135143303497,1.8705357783651468
5539e,0.3,9.182132,90.1,27.450000000000003,-0.346228741736565,1.8554616731696616,12.913987468660723,3.697204636838547,2.1625680784714185
5539f,0.29,25.21918,91.84,13.750000000000004,-0.8409189913916593,0.7935397743203676,9.454753797587156,4.836152229040003,2.0006631465441176
5539g,0.27,5.483829,91.61,30.45000000000001,-0.1003510669891349,0.3347096155028595,9.072741575052625,2.301312198612415,1.9375759643185324
5539h,0.35,10.34196,91.08,20.78,-0.2533869397985389,0.4762126036944869,12.273305305548554,2.6192176427923264,2.2775174952528223
5539i,0.34,8.685521,91.04,19.53,-1.0329560683955965,0.4940080525337731,13.551946048189611,2.485319381895557,2.9250220354946195
5539j,0.34,3.448701,91.74,30.14,-0.3241611961066759,0.3750561131624919,11.519855854163485,3.2143347742902506,2.3293097969755716
5539k,0.3,16.63034,91.99,13.259999999999994,-0.5331231831960936,0.7674651960817014,10.888151252375522,2.9272677204202013,2.3319486628317843
5539l,0.34,9.813452,91.23,25.82,0.3724473369372538,0.716290971945005,16.161485549539268,2.936029269606899,2.575002565682368
5539m,0.27,4.586905,91.83,27.47,-0.7154267534963399,0.3322754934587391,9.822550369254458,1.531504703912867,3.0773894823232153
5539n,0.32,8.040946,89.72,26.86,-0.6057246439326036,0.2988547724285528,4.491797573170908,0.9900444091855308,1.9441378006546224
5539o,0.43,8.02254,91.35,26.9,-0.7915453669000705,0.3926159473604806,15.937285263330804,2.7195185563063107,3.232885103485394
5539p,0.3,79.44304,90.7,15.179999999999996,-0.026729097228173,0.5961728556663493,3.2593813408854144,4.59326677675021,1.2228393567154159
5539q,0.35,75.34893,90.33,16.85,-0.3738151661090705,1.1701242635240303,3.1598167292994805,4.420318751278107,1.3748504848306438
