catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1037,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1037_ab_1.tif,0.0077217123461668,0.222,76.04561,85.46,1.64,10.33,,,
1038,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder7_jd/1038_dq_1.tif,0.0115501240155207,0.175,43.21613,94.25,-0.67,1.03,,,
1039,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder6_jd/1039_kk_2.tif,0.0070614076415033,0.24,84.95737,94.49,-0.57,2.68,,,
104,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/104_kv_1.tif,0.0170376600726431,0.169,27.9463,90.76,0.52,0.04,,,
1040,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/1040_kv_2.tif,0.0201425466387398,0.184,58.63115,92.03,0.17,0.41,,,
105,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/105_kv_0.tif,0.0213082610621349,0.155,27.95667,90.96,0.84,-0.17,,,
106,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/106_kv_2.tif,0.0159671000514566,0.173,31.77229,89.16,0.12,0.76,,,
107,,,0.165,48.05841,92.92,0.35,1.45,,,
108,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/108_kv_2.tif,0.0286835658192578,0.167,38.72027,91.29,0.63,-0.44,,,
109,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/109_kv_1.tif,0.0188624707309797,0.175,63.05759,91.94,0.4,-2.75,,,
11,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/11_kv_2.tif,0.106625633393451,0.363,9.255589,94.01,-0.34,9.12,,,
110,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder3_jd/110_ac_0.tif,0.0269123892295445,0.172,48.74689,92.3,-0.65,2.0,,,
111,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder5_jd/111_kv_0.tif,0.0215187726409214,0.175,56.39571,91.95,0.51,-2.51,,,
