,localpath,roughness
15889,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000g_im_0.tif,0.0216637716899625
15890,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000g_im_1.tif,0.022328024055927
15891,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000g_im_2.tif,0.0223831157845015
15892,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000h_im_0.tif,0.0069621501388637
15893,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000h_im_1.tif,0.0068237349469312
15894,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000h_im_2.tif,0.0070843019178656
15895,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000i_im_0.tif,0.0241635983990262
15896,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000i_im_1.tif,0.0232277095158749
15897,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000i_im_2.tif,0.0246879879529847
15898,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000j_im_0.tif,0.0065915576424963
15899,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/5000j_im_1.tif,0.0060348891741802
