catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1497,10.168283424630989,0.339,7.241206,92.16,-1.26,11.49,,,
1498,6.8313492363123896,0.366,19.08969,92.39,-0.29,2.08,,,
1499,5.340542066035901,0.176,,90.89,-0.3,0.66,,,
15,8.060904626100431,0.348,10.00474,95.09,-0.98,6.11,,,
150,5.493794425558086,0.177,57.82214,90.37,-0.01,1.57,,,
1500,5.767638784902639,0.164,47.77604,92.07,-0.38,1.99,,,
1501,9.532530270166603,0.145,8.160911,88.95,-1.59,5.69,,,
1502,8.209727042894071,0.149,12.31438,89.33,-1.5,5.27,,,
1503,9.359796252444392,0.167,46.94094,85.29,-0.58,13.22,,,
1504,9.73512652465437,0.163,11.13499,84.49,-0.79,14.36,,,
1505,5.071014853660623,0.32,49.96725,94.5,-0.61,4.54,,,
1506,24.070857042324583,0.257,6.027856,93.61,-1.51,6.93,,,
1507,20.70894238264427,0.268,5.963142,93.65,-1.55,6.89,,,
1508,19.87416690372491,0.261,6.065725,93.1,-1.47,6.83,,,
1509,24.380766208063427,0.262,6.156287,93.18,-1.51,7.11,,,
151,3.474641633817422,0.168,64.57281,95.26,0.92,-1.8,,,
1510,8.962942329166001,0.182,10.99194,93.01,-2.43,8.24,,,
1511,7.057493043732082,0.344,7.707989,95.26,-0.64,3.22,,,
1512,7.35339928567853,0.34,9.388827,95.64,-0.89,8.53,,,
1513,6.995906201878049,0.345,7.609544,95.04,-0.55,4.35,,,
1514,7.70863279733704,0.183,25.66705,93.51,-0.15,2.33,,,
1515,6.743922163558882,0.342,8.088305,95.3,-0.89,8.87,,,
1516,7.217889407135139,0.356,9.91206,95.34,-1.01,5.65,,,
1517,5.820238906852329,0.323,49.56853,93.87,-0.26,1.73,,,
1518,4.676456985814464,0.169,57.18786,94.65,-0.94,3.55,,,
1519,6.676896482980987,0.339,10.14412,95.15,-0.68,7.85,,,
152,5.985589554084454,0.168,44.084,89.78,-0.42,2.99,,,
1520,5.990900397672592,0.362,11.10151,95.43,-0.79,5.39,,,
1521,9.92701329383942,0.34,11.05034,91.9,-0.87,8.81,,,
1522,18.791913217987723,0.354,7.106117,91.77,-0.9,14.52,,,
1523,9.691159806935902,0.343,9.785072,92.79,-1.43,5.7,,,
1524,17.252691902573435,0.364,12.09571,94.09,-0.66,8.83,,,
1525,12.15689656998704,0.347,7.288619,,,,,,
1526,10.276399113503548,0.331,6.73475,92.45,-0.79,8.53,,,
1527,7.95982589681708,0.252,35.98094,95.29,0.95,1.75,,,
1528,5.979619469980168,0.151,40.01239,96.81,-0.06,1.28,,,
1529,7.264042166567312,0.323,9.700953,94.67,-0.83,6.93,,,
153,14.549929625288266,0.312,5.842883,94.23,-2.11,12.02,,,
1530,4.861353608238651,0.33,50.60096,92.98,-2.07,5.98,,,
1531,5.21313907006224,0.175,48.18478,91.74,-0.73,5.46,,,
1532,4.612430450829696,0.173,46.42357,91.65,-0.95,7.63,,,
1534,4.9540582300372895,0.174,47.16278,92.78,-1.17,6.0,,,
1535,4.684373184008893,0.314,55.60615,92.27,-1.4,7.87,,,
1537,5.858438335497689,0.178,46.63945,90.24,-0.35,2.3,,,
1538,7.729091518021875,0.18,34.45374,90.74,-0.26,2.08,,,
1539,4.866640693642828,0.161,52.07623,86.75,-0.27,1.84,,,
154,7.260213777539964,0.184,35.29502,91.0,-0.27,1.3,,,
1540,10.45749047751829,0.269,23.97805,95.09,0.98,3.46,,,
1541,5.243058884106028,0.164,54.144,96.31,1.01,-0.0,,,
1542,12.492383262215863,0.126,5.399503,94.73,0.78,0.52,,,
1543,5.8093814383960405,0.163,55.25537,86.53,0.44,-0.18,,,
1544,4.139581151669881,0.175,44.4304,92.79,-0.36,0.29,,,
1545,7.331128614428906,0.142,36.52079,88.54,0.96,5.93,,,
1546,6.0014134617808566,0.158,50.6715,86.96,0.34,-0.11,,,
1547,6.082025620087364,0.163,52.47742,86.63,0.85,-0.95,,,
1548,6.195786778986896,0.164,52.59243,86.53,-0.2,1.74,,,
1549,8.127635397996695,0.337,13.03459,94.88,-0.98,6.53,,,
155,3.796794823067706,0.18,65.67224,95.84,-0.82,1.72,,,
1550,8.891800131792806,0.166,10.59289,88.61,-1.56,9.02,,,
1551,4.535105925925593,0.306,53.04394,95.03,-0.03,3.43,,,
1552,6.864851561251895,0.175,8.358428,94.91,-0.92,4.79,,,
1553,6.763113363595052,0.318,13.29305,92.61,-0.23,4.29,,,
1554,4.823384068294272,0.321,46.93597,93.5,-0.79,5.95,,,
1555,5.087650572605502,0.333,10.10403,93.41,-1.26,6.73,,,
1556,6.723818772959363,0.343,10.5097,94.62,-1.79,7.53,,,
1557,4.626135095022076,0.182,55.16968,91.97,-0.68,1.49,,,
1558,5.525183985467597,0.164,54.45158,93.96,-0.86,4.06,,,
156,3.086530645214709,0.177,69.09013,95.57,-0.58,1.52,,,
158,5.185278128545793,0.169,,90.75,-0.12,1.75,,,
159,5.329378416463617,0.185,26.3859,90.78,0.21,0.62,,,
16,15.88878035822301,0.38,7.258767,93.81,-1.08,10.66,,,
160,8.843153874335595,0.37,8.952381,94.9,-0.7,7.47,,,
161,8.45053426990858,0.179,11.12771,95.32,-0.96,5.9,,,
162,5.063518981727922,,8.284794,93.43,-0.87,3.2,,,
164,3.153831705354245,0.18,62.92032,95.52,0.49,-1.02,,,
165,3.1579644915878315,0.182,63.88771,96.01,0.58,-0.25,,,
166,3.719170628398485,0.178,76.42834,95.91,0.74,0.29,,,
167,9.153862250083858,0.259,22.73993,94.62,1.41,2.32,,,
