catalog,g60
4787r,8.202103
4787r,8.312311
4787r,8.27726
4787s,5.486094
4787s,5.477323
4787s,6.056943
4787t,1.61187
4787t,1.912412
4787t,2.185541
4787u,12.54278
4787u,13.08798
4787u,13.1519
4787v,3.008862
4787v,3.082966
4787v,3.035247
4787w,10.79408
4787w,9.466166
4787w,9.6195
294a,9.428433
294a,9.138933
294a,7.95285
294b,12.07564
294b,11.23539
294b,11.52462
294c,2.476583
294c,2.69828
294c,1.785316
294d,13.21066
294d,13.75544
294d,13.63473
294e,76.15155
294e,42.59023
294e,59.78491
294f,13.45628
294f,13.5112
294f,13.16109
2142a,2.563745
2142a,2.54996
2142a,1.976941
2142b,4.114237
2142b,3.870602
2142b,3.843772
2142c,5.114717
2142c,3.927486
2142c,4.562477
2142d,65.41678
2142d,62.94387
2142d,64.43651
2142e,4.049109
2142e,3.272866
2142e,2.309098
2142f,12.09281
2142f,11.47616
2142f,11.9115
2142g,5.162004
2142g,4.203097
2142g,4.503406
2142h,75.03163
2142h,72.85921
2142h,81.01822
2142i,7.989293
2142i,7.542624
2142i,7.982967
2142j,15.78619
2142j,14.737
2142j,14.22802
2142k,9.447357
2142k,9.481888
2142k,8.945502
2142l,71.04446
2142l,69.64036
2142l,71.59503
2142o,93.97532
2142o,95.41932
2142o,95.60001
2142p,3.770213
2142p,3.677914
2142p,3.85078
2142q,23.45748
2142q,22.32258
2142q,23.03112
2142r,8.363771
2142r,8.544055
2142r,8.532123
2142s,3.493663
2142s,4.022309
2142s,3.829465
2142t,6.097393
2142t,5.220621
2142t,5.199976
2142u,10.48383
2142u,9.930188
2142u,9.614307
2142v,3.371607
2142v,3.225922
2142v,2.929115
2142w,5.10322
2142w,4.796449
2142w,4.640579
2142x,4.099984
2142x,5.028861
2142x,4.327878
2142y,62.30374
2142y,67.26322
2142y,66.23869
2142z,53.18029
2142z,55.04356
2142z,54.58719
2142aa,51.28569
2142aa,65.72511
2142aa,63.38721
2142bb,56.78173
2142bb,61.30304
2142bb,59.81255
2142cc,69.64585
2142cc,67.54403
2142cc,65.62653
2142dd,73.84301
2142dd,86.77986
2142dd,71.49126
2142ee,93.52475
2142ee,86.82523
2142ee,78.40573
2142ff,60.82877
2142ff,61.58371
2142ff,63.16824
2142gg,66.44272
2142gg,75.35977
2142gg,81.39378
2142hh,52.89907
2142hh,51.59831
2142hh,53.74632
2142ii,23.13186
2142ii,23.492
2142ii,24.40184
2142jj,56.95937
2142jj,61.44276
2142jj,61.05938
2142kk,42.72004
2142kk,40.30318
2142kk,40.49841
2142ll,3.857187
2142ll,4.320184
2142ll,4.103623
2142mm,33.28443
2142mm,34.92726
2142mm,36.09257
2142nn,55.47423
2142nn,51.27062
2142nn,57.74056
2142oo,15.79026
2142oo,15.6982
2142oo,14.61964
2142pp,23.73448
2142pp,24.93898
2142pp,25.19281
5502a,10.59728
5502a,10.47206
5502a,10.21729
5502b,7.807703
5502b,7.591796
5502b,7.600916
5502c,12.58755
5502c,12.17109
5502c,11.69472
5502d,96.28389
5502d,93.03107
5502d,93.32718
5502e,95.26013
5502e,94.97522
5502e,95.61672
5502f,48.60614
5502f,49.08615
5502f,51.88047
5502g,11.88295
5502g,11.37126
5502g,12.49271
5502h,10.89342
5502h,10.06999
5502h,11.90196
5502i,14.71493
5502i,14.48449
5502i,14.80416
5502j,97.07373
5502j,96.38144
5502j,96.36926
5502k,16.22818
5502k,15.06682
5502k,15.78758
4929a,97.76302
4929a,96.07807
4929a,95.04725
4929b,93.86137
4929b,93.57967
4929b,94.87078
4929c,20.07525
4929c,18.86533
4929c,19.1504
4929d,93.59753
4929d,94.76327
4929d,93.2512
4929e,93.1416
4929e,88.07307
4929e,90.64066
4929f,12.64751
4929f,11.96534
4929f,12.03426
4929g,19.72108
4929g,19.49822
4929g,20.07103
4929h,5.237863
4929h,5.157914
4929h,5.091769
4929i,12.53041
4929i,12.77344
4929i,12.79977
284a,13.76807
284a,13.88966
284a,13.84234
284b,30.73421
284b,31.39675
284b,30.05841
284c,2.089268
284c,2.546706
284c,2.033831
284d,90.42774
284d,89.88781
284d,91.68247
284e,8.301604
284e,8.444218
284e,8.653548
284f,6.515469
284f,6.722017
284f,7.081188
284g,20.33955
284g,19.95736
284g,19.69914
284h,3.131226
284h,3.739594
284h,3.459448
284i,10.27139
284i,11.16123
284i,10.95852
284j,13.70963
284j,13.35728
284j,13.2459
284k,92.85495
284k,90.42677
284k,88.98933
284l,91.36698
284l,93.2049
284l,92.20837
284m,7.760905
284m,8.894738
284m,7.545781
284n,5.25589
284n,5.367685
284n,5.187244
284o,22.09883
284o,20.97231
284o,21.59832
284p,4.010937
284p,4.214705
284p,4.22356
284q,5.46055
284q,5.738563
284q,5.155375
284r,11.21435
284r,11.72622
284r,10.1807
284s,23.21087
284s,24.02111
284s,21.69052
284t,3.441913
284t,2.887412
284t,3.314218
284u,9.29685
284u,10.60557
284u,9.273363
284v,94.35025
284v,93.29305
284v,90.00497
284w,14.24036
284w,13.6948
284w,14.55271
284x,9.553488
284x,9.763848
284x,9.605315
284y,24.48343
284y,25.67518
284y,24.98453
284z,6.870948
284z,7.079341
284z,7.062355
284aa,85.74586
284aa,87.40752
284aa,86.92589
284bb,21.46205
284bb,21.79784
284bb,21.04941
284cc,1.943248
284cc,1.872499
284cc,1.920326
284dd,10.415
284dd,10.40181
284dd,10.04419
284ee,4.584496
284ee,5.063456
284ee,5.276029
284ff,7.100966
284ff,7.1779
284ff,7.110262
2643r,10.07174
2643r,11.52913
2643r,11.04545
2643s,18.25072
2643s,18.44498
2643s,17.58658
2643t,3.15586
2643t,3.984739
2643t,3.946707
2643u,94.76612
2643u,92.93384
2643u,96.54543
2643v,90.49307
2643v,95.43088
2643v,97.80844
2643w,97.44994
2643w,96.89094
2643w,96.39188
2643x,12.07242
2643x,12.33665
2643x,12.65494
2643y,13.74345
2643y,14.48597
2643y,14.27421
2643z,4.722373
2643z,4.756543
2643z,4.869083
3214a,34.96709
3214a,33.8219
3214a,34.48568
3214b,13.01003
3214b,12.5306
3214b,12.31653
3214c,7.980538
3214c,8.510468
3214c,7.731861
3214d,24.93183
3214d,24.05661
3214d,26.30343
3214e,20.08826
3214e,18.65848
3214e,19.34092
3214f,1.474028
3214f,1.577843
3214f,1.354022
3214g,5.833126
3214g,6.556402
3214g,6.799357
3214h,82.75869
3214h,89.40855
3214h,88.74738
3214i,9.618866
